intervention_id,station_libelle,date_signalement,date_resolution,nature,duree_indispo_min,technicien
1,Rouen — Université,2025-01-23,2025-01-24,communication réseau perdue,-1,TECH-04
2,Poitiers — Hôpital,2025-12-20,2026-01-01,câble endommagé,1895,TECH-08
3,Angoulême — Stade,2025-08-05,2025-08-26,défaut de paiement carte,2474,TECH-04
4,Angoulême — Aéroport,2025-01-17,2025-02-06,communication réseau perdue,1134,TECH-11
5,Cherbourg — Centre,2025-10-31,2025-11-06,défaut de paiement carte,2376,TECH-14
6,Rouen — Stade,2025-02-22,2025-02-27,maintenance préventive,117,TECH-05
7,Metz — Zone Nord,2025-12-31,2026-01-03,borne hors service,2072,TECH-08
8,Bordeaux — Zone Nord,2025-07-05,2025-07-17,borne hors service,1858,TECH-04
9,Angoulême — Stade,2025-11-11,2025-11-13,défaut de paiement carte,376,TECH-07
10,Bordeaux — Hôpital,2025-10-06,2025-10-09,câble endommagé,979,TECH-03
11,Rennes — Université,2025-06-24,2025-07-03,câble endommagé,1360,TECH-09
12,Quimper — Stade,2025-11-15,2025-11-16,maintenance préventive,1115,TECH-11
13,Le Havre — Gare,2025-09-25,2025-10-01,câble endommagé,664,TECH-11
14,Limoges — Hôpital,2025-09-12,2025-09-18,communication réseau perdue,1475,TECH-12
15,Le Mans — Parc des Expos,2025-04-10,2025-04-16,borne hors service,2166,TECH-04
16,Pau — Stade,2025-12-01,2025-12-13,défaut de paiement carte,1274,TECH-14
17,Bordeaux — Aéroport,2025-12-25,2025-12-25,communication réseau perdue,451,TECH-15
18,Nantes — Port,2025-11-09,2025-11-14,câble endommagé,-1,TECH-13
19,Bordeaux — Marché,2025-06-14,2025-07-05,défaut de paiement carte,2601,TECH-16
20,Strasbourg — Hôpital,2025-05-07,2025-05-12,écran illisible,2845,TECH-14
21,Vannes — Zone Nord,2025-12-13,2025-12-25,borne hors service,-1,TECH-18
22,Perpignan — Gare,2025-04-25,2025-05-05,écran illisible,610,TECH-18
23,Strasbourg — Stade,2025-01-16,2025-01-29,borne hors service,2162,TECH-13
24,Poitiers — Stade,2025-07-10,2025-07-27,défaut de paiement carte,2318,TECH-05
25,Cherbourg — Port,2025-07-25,2025-08-14,borne hors service,1251,TECH-05
26,Rouen — Aéroport,2025-06-18,2025-07-07,borne hors service,887,TECH-02
27,Strasbourg — Stade,2025-10-09,2025-10-23,câble endommagé,1067,TECH-16
28,Pau — Marché,2025-02-04,2025-02-18,câble endommagé,1265,TECH-13
29,Vannes — Stade,2025-02-25,2025-03-17,borne hors service,559,TECH-15
30,Rouen — Marché,2025-02-10,2025-02-25,écran illisible,1041,TECH-09
31,Le Mans — Parc des Expos,2025-01-24,2025-01-28,câble endommagé,2748,TECH-02
32,Le Havre — Zone Nord,2025-06-28,2025-06-29,maintenance préventive,2667,TECH-15
33,Quimper — Stade,2025-01-24,2025-02-03,maintenance préventive,2383,TECH-09
34,Le Havre — Zone Nord,2025-11-11,2025-11-12,maintenance préventive,972,TECH-15
35,Metz — Port,2025-05-26,2025-05-26,communication réseau perdue,2413,TECH-04
36,Angers — Marché,2025-11-18,2025-12-02,défaut de paiement carte,86,TECH-11
37,Strasbourg — Hôpital,2025-02-15,2025-02-19,défaut de paiement carte,2700,TECH-05
38,Pau — Marché,2025-06-15,2025-07-06,écran illisible,1977,TECH-07
39,Nancy — Centre,2025-05-18,2025-05-28,borne hors service,1044,TECH-02
40,Bordeaux — Marché,2025-09-16,2025-10-04,borne hors service,1141,TECH-12
41,Toulouse — Centre,2025-09-29,2025-10-08,défaut de paiement carte,2340,TECH-18
42,Rouen — Hôpital,2025-04-04,2025-04-15,borne hors service,810,TECH-02
