code_station,libelle_station,region,statut,date_mise_en_service,nb_points
ST-001,Colmar — Université,Grand Est,ACT,2024-06-11,8
ST-002,Nantes — Parc des Expos,Pays de la Loire,ACT,2023-06-26,4
ST-003,Rouen — Université,Normandie,ACT,2019-01-05,4
ST-004,Nantes — Zone Nord,Pays de la Loire,ACT,2020-10-17,2
ST-005,Poitiers — Centre,Nouvelle-Aquitaine,ACT,2020-02-15,6
ST-006,Rennes — Marché,Bretagne,ACT,2021-07-02,2
ST-007,Toulouse — Port,Occitanie,ACT,2021-08-29,2
ST-008,Bordeaux — Centre,Nouvelle-Aquitaine,ACT,2021-09-03,6
ST-009,Angers — Port,Pays de la Loire,ACT,2020-03-26,8
ST-010,Nancy — Port,Grand Est,ACT,2022-06-08,2
ST-011,Nîmes — Stade,Occitanie,ACT,2023-02-05,8
ST-012,Laval — Gare,Pays de la Loire,ACT,2019-12-18,4
ST-013,Quimper — Centre,Bretagne,ACT,2024-01-25,2
ST-014,Lorient — Gare,Bretagne,ACT,2022-04-26,6
ST-015,Nantes — Marché,Pays de la Loire,ACT,2019-03-03,2
ST-016,Le Mans — Marché,Pays de la Loire,ACT,2023-04-04,4
ST-017,La Roche — Stade,Pays de la Loire,ACT,2023-07-03,2
ST-018,Le Havre — Marché,Normandie,ACT,2021-07-28,4
ST-019,Rennes — Port,Bretagne,ACT,2024-01-21,2
ST-020,Cherbourg — Zone Nord,Normandie,ACT,2020-05-13,2
ST-021,Strasbourg — Parc des Expos,Grand Est,ACT,2024-03-09,2
ST-022,Perpignan — Parc des Expos,Occitanie,ACT,2023-06-27,4
ST-023,Laval — Hôpital,Pays de la Loire,ACT,2024-02-11,2
ST-024,Strasbourg — Gare,Grand Est,ACT,2022-02-13,2
ST-025,Angers — Gare,Pays de la Loire,ACT,2020-04-13,8
ST-026,Montpellier — Aéroport,Occitanie,ACT,2019-12-08,6
ST-027,Bordeaux — Université,Nouvelle-Aquitaine,ACT,2023-08-01,2
ST-028,Rouen — Hôpital,Normandie,ACT,2022-01-03,4
ST-029,Limoges — Centre,Nouvelle-Aquitaine,ACT,2021-07-11,2
ST-030,Le Havre — Stade,Normandie,ACT,2020-07-13,4
ST-031,Angers — Marché,Pays de la Loire,ACT,2021-06-13,4
ST-032,Bordeaux — Zone Nord,Nouvelle-Aquitaine,ACT,2022-06-14,6
ST-033,Nantes — Port,Pays de la Loire,ACT,2020-04-14,2
ST-034,Bordeaux — Marché,Nouvelle-Aquitaine,ACT,2021-07-06,8
ST-035,Perpignan — Marché,Occitanie,ACT,2021-10-03,4
ST-036,Le Mans — Port,Pays de la Loire,ACT,2021-02-06,6
ST-037,Bordeaux — Hôpital,Nouvelle-Aquitaine,ACT,2023-09-24,2
ST-038,Le Mans — Parc des Expos,Pays de la Loire,ACT,2024-05-28,4
ST-039,Laval — Zone Nord,Pays de la Loire,ACT,2019-07-08,8
ST-040,Rennes — Université,Bretagne,ACT,2021-05-09,4
ST-041,Colmar — Stade,Grand Est,ACT,2022-11-21,2
ST-042,Angers — Parc des Expos,Pays de la Loire,ACT,2020-01-15,8
ST-043,Metz — Hôpital,Grand Est,ACT,2023-09-14,6
ST-044,Strasbourg — Stade,Grand Est,ACT,2023-10-26,2
ST-045,Rouen — Aéroport,Normandie,ACT,2020-09-03,8
ST-046,Pau — Marché,Nouvelle-Aquitaine,ACT,2022-11-19,2
ST-047,Nancy — Centre,Grand Est,ACT,2023-03-05,6
ST-048,Bordeaux — Port,Nouvelle-Aquitaine,ACT,2020-01-26,2
ST-049,Limoges — Hôpital,Nouvelle-Aquitaine,ACT,2022-04-16,8
ST-050,Brest — Port,Bretagne,ACT,2021-09-15,2
ST-051,Angoulême — Zone Nord,Nouvelle-Aquitaine,ACT,2019-01-01,2
ST-052,Évreux — Aéroport,Normandie,ACT,2020-06-08,2
ST-053,Bordeaux — Aéroport,Nouvelle-Aquitaine,ACT,2019-08-23,8
ST-054,Cherbourg — Aéroport,Normandie,ACT,2020-06-03,8
ST-055,Reims — Université,Grand Est,ACT,2023-05-22,4
ST-056,Vannes — Zone Nord,Bretagne,ACT,2023-10-31,8
ST-057,Lorient — Marché,Bretagne,ACT,2022-01-15,6
ST-058,Évreux — Centre,Normandie,ACT,2023-01-11,2
ST-059,Vannes — Stade,Bretagne,ACT,2023-01-29,2
ST-060,Le Mans — Aéroport,Pays de la Loire,ACT,2019-05-27,2
ST-061,Le Havre — Port,Normandie,ACT,2023-01-12,2
ST-062,La Roche — Hôpital,Pays de la Loire,ACT,2019-06-26,6
ST-063,Pau — Stade,Nouvelle-Aquitaine,ACT,2021-02-23,4
ST-064,Reims — Zone Nord,Grand Est,ACT,2023-08-29,2
ST-065,Le Mans — Centre,Pays de la Loire,ACT,2019-08-17,6
ST-066,Montpellier — Stade,Occitanie,ACT,2022-09-24,4
ST-067,Rennes — Aéroport,Bretagne,ACT,2023-02-23,4
ST-068,Strasbourg — Hôpital,Grand Est,ACT,2021-12-09,2
ST-069,Perpignan — Aéroport,Occitanie,ACT,2019-08-01,6
ST-070,Angoulême — Université,Nouvelle-Aquitaine,ACT,2024-02-20,6
ST-071,Albi — Centre,Occitanie,ACT,2022-11-07,4
ST-072,Rouen — Gare,Normandie,ACT,2020-04-14,8
ST-073,Limoges — Stade,Nouvelle-Aquitaine,ACT,2021-12-11,4
ST-074,Brest — Hôpital,Bretagne,ACT,2022-07-14,4
ST-075,Quimper — Stade,Bretagne,ACT,2022-03-25,4
ST-076,Cherbourg — Gare,Normandie,ACT,2021-12-10,2
ST-077,Nancy — Gare,Grand Est,ACT,2023-02-07,6
ST-078,Toulouse — Centre,Occitanie,ACT,2023-12-09,2
ST-079,Nantes — Hôpital,Pays de la Loire,ACT,2020-05-28,4
ST-080,Quimper — Université,Bretagne,ACT,2020-05-29,6
